sl_no,company_id,sla_type,mode,destination_port,min_sla,max_sla,severity,active
1,4,PO Acknowledgment,,,,3,Green,Yes
2,4,Booking Performance,,,7,,Red,Yes
3,4,Booking Performance,,,5,7,Yellow,Yes
4,4,Booking Performance,,,,5,Green,Yes
5,4,Transit Delay,Sea,,10,,Red,Yes
6,4,Transit Delay,Sea,,0,10,Yellow,Yes
7,4,Transit Delay,Air,,10,,Red,Yes
8,4,Transit Delay,Air,,0,10,Yellow,Yes
9,4,Transit Delay,Land,,10,,Red,Yes
10,4,Transit Delay,Land,,0,10,Yellow,Yes
11,4,Customs Clearance & Delivery,Sea,AEJEA,7,,Red,Yes
12,4,Customs Clearance & Delivery,Sea,AEKHL,7,,Red,Yes
13,4,Customs Clearance & Delivery,Sea,AEDXB,7,,Red,Yes
14,4,Customs Clearance & Delivery,Sea,AEPRA,7,,Red,Yes
15,4,Customs Clearance & Delivery,Sea,AEFJR,7,,Red,Yes
16,4,Customs Clearance & Delivery,Sea,AESHJ,7,,Red,Yes
17,4,Customs Clearance & Delivery,Sea,AEKFA,7,,Red,Yes
18,4,Customs Clearance & Delivery,Sea,AEAUH,7,,Red,Yes
19,4,Customs Clearance & Delivery,Sea,AEHAM,7,,Red,Yes
20,4,Customs Clearance & Delivery,Sea,AERAK,7,,Red,Yes
21,4,Customs Clearance & Delivery,Sea,AEAJM,7,,Red,Yes
22,4,Customs Clearance & Delivery,Sea,AEUAQ,7,,Red,Yes
23,4,Customs Clearance & Delivery,Sea,AEDAS,7,,Red,Yes
24,4,Customs Clearance & Delivery,Sea,AEKFA,7,,Red,Yes
25,4,Customs Clearance & Delivery,Air,DXB,7,,Red,Yes
26,4,Customs Clearance & Delivery,Air,AUH,7,,Red,Yes
27,4,Customs Clearance & Delivery,Air,SHJ,7,,Red,Yes
28,4,Customs Clearance & Delivery,Air,DWC,7,,Red,Yes
29,4,Customs Clearance & Delivery,Air,RKT,7,,Red,Yes
30,4,Customs Clearance & Delivery,Air,FJR,7,,Red,Yes
31,4,Customs Clearance & Delivery,Air,AAN,7,,Red,Yes
32,4,Customs Clearance & Delivery,Air,AZI,7,,Red,Yes
33,4,Customs Clearance & Delivery,Air,XSB,7,,Red,Yes
34,4,Customs Clearance & Delivery,Air,ZDY,7,,Red,Yes
35,4,Customs Clearance & Delivery,Air,NHD,7,,Red,Yes
36,4,Customs Clearance & Delivery,Air,DHF,7,,Red,Yes
37,4,Customs Clearance & Delivery,Land,,7,,Red,Yes
38,4,Customs Clearance & Delivery,Sea,AEJEA,5,7,Yellow,Yes
39,4,Customs Clearance & Delivery,Sea,AEKHL,5,7,Yellow,Yes
40,4,Customs Clearance & Delivery,Sea,AEDXB,5,7,Yellow,Yes
41,4,Customs Clearance & Delivery,Sea,AEPRA,5,7,Yellow,Yes
42,4,Customs Clearance & Delivery,Sea,AEFJR,5,7,Yellow,Yes
43,4,Customs Clearance & Delivery,Sea,AESHJ,5,7,Yellow,Yes
44,4,Customs Clearance & Delivery,Sea,AEKFA,5,7,Yellow,Yes
45,4,Customs Clearance & Delivery,Sea,AEAUH,5,7,Yellow,Yes
46,4,Customs Clearance & Delivery,Sea,AEHAM,5,7,Yellow,Yes
47,4,Customs Clearance & Delivery,Sea,AERAK,5,7,Yellow,Yes
48,4,Customs Clearance & Delivery,Sea,AEAJM,5,7,Yellow,Yes
49,4,Customs Clearance & Delivery,Sea,AEUAQ,5,7,Yellow,Yes
50,4,Customs Clearance & Delivery,Sea,AEDAS,5,7,Yellow,Yes
51,4,Customs Clearance & Delivery,Sea,AEKFA,5,7,Yellow,Yes
52,4,Customs Clearance & Delivery,Air,DXB,5,7,Yellow,Yes
53,4,Customs Clearance & Delivery,Air,AUH,5,7,Yellow,Yes
54,4,Customs Clearance & Delivery,Air,SHJ,5,7,Yellow,Yes
55,4,Customs Clearance & Delivery,Air,DWC,5,7,Yellow,Yes
56,4,Customs Clearance & Delivery,Air,RKT,5,7,Yellow,Yes
57,4,Customs Clearance & Delivery,Air,FJR,5,7,Yellow,Yes
58,4,Customs Clearance & Delivery,Air,AAN,5,7,Yellow,Yes
59,4,Customs Clearance & Delivery,Air,AZI,5,7,Yellow,Yes
60,4,Customs Clearance & Delivery,Air,XSB,5,7,Yellow,Yes
61,4,Customs Clearance & Delivery,Air,ZDY,5,7,Yellow,Yes
62,4,Customs Clearance & Delivery,Air,NHD,5,7,Yellow,Yes
63,4,Customs Clearance & Delivery,Air,DHF,5,7,Yellow,Yes
64,4,Customs Clearance & Delivery,Land,,5,7,Yellow,Yes
65,4,Customs Clearance & Delivery,Sea,AEJEA,,5,Green,Yes
66,4,Customs Clearance & Delivery,Sea,AEKHL,,5,Green,Yes
67,4,Customs Clearance & Delivery,Sea,AEDXB,,5,Green,Yes
68,4,Customs Clearance & Delivery,Sea,AEPRA,,5,Green,Yes
69,4,Customs Clearance & Delivery,Sea,AEFJR,,5,Green,Yes
70,4,Customs Clearance & Delivery,Sea,AESHJ,,5,Green,Yes
71,4,Customs Clearance & Delivery,Sea,AEKFA,,5,Green,Yes
72,4,Customs Clearance & Delivery,Sea,AEAUH,,5,Green,Yes
73,4,Customs Clearance & Delivery,Sea,AEHAM,,5,Green,Yes
74,4,Customs Clearance & Delivery,Sea,AERAK,,5,Green,Yes
75,4,Customs Clearance & Delivery,Sea,AEAJM,,5,Green,Yes
76,4,Customs Clearance & Delivery,Sea,AEUAQ,,5,Green,Yes
77,4,Customs Clearance & Delivery,Sea,AEDAS,,5,Green,Yes
78,4,Customs Clearance & Delivery,Sea,AEKFA,,5,Green,Yes
79,4,Customs Clearance & Delivery,Air,DXB,,5,Green,Yes
80,4,Customs Clearance & Delivery,Air,AUH,,5,Green,Yes
81,4,Customs Clearance & Delivery,Air,SHJ,,5,Green,Yes
82,4,Customs Clearance & Delivery,Air,DWC,,5,Green,Yes
83,4,Customs Clearance & Delivery,Air,RKT,,5,Green,Yes
84,4,Customs Clearance & Delivery,Air,FJR,,5,Green,Yes
85,4,Customs Clearance & Delivery,Air,AAN,,5,Green,Yes
86,4,Customs Clearance & Delivery,Air,AZI,,5,Green,Yes
87,4,Customs Clearance & Delivery,Air,XSB,,5,Green,Yes
88,4,Customs Clearance & Delivery,Air,ZDY,,5,Green,Yes
89,4,Customs Clearance & Delivery,Air,NHD,,5,Green,Yes
90,4,Customs Clearance & Delivery,Air,DHF,,5,Green,Yes
91,4,Customs Clearance & Delivery,Land,,,5,Green,Yes
92,4,PO Received Date Calculation,,,2,,,Yes
