supplier_name,supplier_id,avg_lead_time
PASCO GMBH,10094,60
HERMES PARFUMS MIDDLE EAST,10359,60
AIRE INFLIGHT FZE,10668,60
BULGARI IRELAND LIMITED,11296,30
SAG GENERAL TRADING LLC - FERVORME,14329,30
GEBR. HEINEMANN SE & CO. KG,14780,60
AL SALEM TRADING ENTERPRISES L.L.C.,1688,0
PULSAR FOODSTUFF TRADING L.L.C,17379,60
ABERT SPA,19835,60
DESTER BV,2466,60
DE BORTOLI'S WINES PTY LTD,2517,60
DOMAINES JEAN MICHEL CAZES,25374,60
GLOBAL-C INFLIGHT SOLUTIONS,25802,40
BUCKLEY JEWELLERY LIMITED,26295,30
BIECHER S.A.,26523,30
GOLD AWIN LEOVIC GROUP LIMITED,26732,60
MAISON SICHEL,26848,60
COMPAGNIE MEDOCAINE DES GRANDS CRUS,2719,60
NHP HANSE TRAVEL RETAIL GMBH,27534,30
BUZZ PRODUCTS PTY LTD,27921,90
CHATSFORD LIMITED,2827,85
DILMAH CEYLON TEA COMPANY PLC,2834,64
M H C S,2838,60
CASTELLO MONTE VIBIANO VECCHIO S.R.L.,2881,58
SKYLINK GMBH,32608,0
STEP SOURCING TRADING L.L.C,33303,60
"SOGRAPE VINHOS, S.A.",34838,60
JF HILLEBRAND FRANCE SAS,3586,60
PRECISION DIES & TOOLS MANUFACTURING CO. (L.L.C),3720,0
MERRY FOOD,37383,85
UNISTO AG,3893,118
WINITEX SDN BHD,3956,120
FORMIA MIDDLE EAST FZCO,42265,90
MGI LUXURY GROUP S.A.,49149,0
TREASURY WINE ESTATES VINTNERS LTD,49732,60
DOLPHIN INNOVATIONS GMBH,50922,0
ROJA PARFUMS HOLDINGS LIMITED,50968,0
SCIENTIFIC COSMECEUTICALS SA,52170,0
GR MEDIA SOLUTIONS DMCC,53072,0
GREENLINE TRAVEL & TOURISM L.L.C.,55214,0
E.F.B FZC,65252,60
VALOREM CAPITAL ONE LTD,65372,0
SOFT MAGIC SYSTEMS COMPUTERS L.L.C,65418,0
"DRACELL COSMETICS CO., LTD",65443,97
MILK DESIGN LIMITED,67941,0
BROS MANIFATTURE SRL,68515,0
ETIENNE AIGNER AG,68540,0
BALLY SCHUHFABRIKEN AG,68541,0
AMOUAGE SAOC,68579,0
EURO PARFUMS FZE (BRANCH),68946,0
SUVJAY INDUSTRIES INDIA LLP,70272,113
FERVOR PTE. LTD.,71206,0
RND RETAIL AND DISTRIBUTION FZ-LLC,71209,0
RENAISSANCE AGENCY FZ-LLC,71212,0
SCENT DESIGN SA,71213,0
ZINVO LLC,71214,0
I-SLICES MANUFACTURING PTY LTD,71236,0
BAROQUE AND ROSE LTD,71320,0
ILG EMEA DWC-LLC,71349,0
DIAMANTI PER TUTTI BV,71391,0
FLEXIROAM ASIA LIMITED,72807,0
ASC REGENITY LIMITED,72936,0
FRANLINE IRELAND LIMITED,72949,0
ASHER VENTURES GOODS WHOLESALERS CO. L.L.C,73935,0
WORKAHOLIC COMFORT SHOES S.L.,74012,0
YV BRANDS LIMITED,74020,0
HISTORIC ORIGINALS LIMITED,74049,0
EIDEAL TRADING LLC,74399,0
"CLENAPAL, S.L.,",74597,0
NASUS PHARMA LTD,74610,0
MAVIVE S.P.A,74744,0
XERJOFF GROUP S.P.A.,74816,0
"ATHENA COSMETICS, INC",76382,0
BEAUTYPRO LTD,76383,0
BLUE VISION C & G SRL,76384,0
SISLEY ORIENT FZCO,76386,0
LENGLING LUXURY GMBH AND CO. KG,76387,0
PRINCIPE SPA,76388,0
REFLECTA S.A.S. DI ALESSANDRA VISCONTI AND C.,76389,0
MANTA HAIR LIMITED,76390,0
TAHBOUB HOLDINGS FZCO,76396,0
DANESSA MYRICKS BEAUTY EUROPE S.R.L,76397,0
IACOBUCCI HF AEROSPACE S.P.A.,9379,70
LGI,9915,0
