Supplier,Supplier_id,AVG_lead_time
ABERT SPA,,60
ADA PACIFIC,,65
AEROFOOD ACS DENPASAR,,60
AIRE INFLIGHT,,60
AL SALEM TRADING ENTERPRISES,,60
BIECHER S.A.,,0
BUZZ PRODUCTS PTY LTD,,90
BVLGARI IRELAND,,60
CASTELLO MONTE VIBIANO VECCHIO S.R.L.,,58
CHAPOUTIER,,0
CHATSFORD,,85
COMPAGNIE MEDOCAINE,,0
DE BORTOLI WINES,,0
SAFRAN CABIN GERMANY GMBH,,45
SAFRAN CABIN FRANCE,,45
DESTER,,120
DILMAH CEYLON TEA COMPANY PLC,,64
DIETHELM KELLER AVIATION,,60
DRIESSEN,,60
EARTHBAGS EXPORT PVT LTD,,66
EFB FZC,,45
ELECTROSTAR GMBH,,60
FALSEBAY VINEYARDS,,0
FISKARS,,70
FORMIA MIDDLE EAST FZCO,,90
FOURWAY,,25
GATE GOURMET,,60
GL PRODUCTIONS,,60
GLOBAL-C,,40
GOLD AWIN LEOVIC GROUP LIMITED,,60
GREENLINE,,60
IACOBUCCI,,70
INF ORGANISATION,,60
INFLIGHT DIRECT,,80
INTEX COMFORT,,60
JERMANN S.R.L.,,60
JF HILLEBRAND,,0
JM CAZES,,0
JOHN HORSFALL,,85
JUTEBERRY INDIA PRIVATE LIMITED,,60
"KUO YU PLASTIC ENT. CO., LTD.",,60
LGI WINES,,0
LINSTOL UK LIMITED,,89
RETURN - LSG SKY CHEFS,,0
MAISON SICHEL,,0
MALTON INFLIGHT,,92
MARCHESI ANTINORI ,,60
MATRIX,,70
MERRY FOOD,,85
MHCS,,0
MILK DESIGN,,97
NAIROBI COFFEE,,98
NORITAKE CO LIMITED,,90
PETLIFE INTERNATIONAL,,100
PLASTICA INDUSTRIES L.L.C,,30
PT. AEROFOOD INDONESIA,,60
PULSAR FOODSTUFF,,103
R GLASS,,60
ROBERT WELCH,,105
RONA A.S.,,60
SALTEC INTERNATIONAL,,60
SANKYU FOOD,,42
SOLA AIRLINE,,110
SOUND UNITED,,60
STEP SOURCING,,60
SUVJAY INDUSTRIES ,,113
SUNSHINE TEA HOUSE,,60
SYMINGTON,,0
"SYMINGTON, SOGRAPE",,0
THERMOS INTERNATIONAL TRADING,,90
TREASURY WINE,,0
UNISTO,,118
VINIMARK TRADING,,60
VOLK ENTERPRISES,,120
WESSCO INTERNATIONAL,,60
WINITEX,,120
CANONICA SA,,60
INDIA FOOD EXPORTS,,60
GSTIC GROUP DMCC,,60
RETURN - AAS CATERING,,50
RETURN - AEROFOOD,,50
RETURN - CLS CATERING,,50
RETURN - DNATA,,50
RETURN - DNATA CATERING - MEL,,50
RETURN - DNATA CATERING - SYD,,50
RETURN - DNATA CATERING - UK,,50
RETURN - DNATA - DUB,,50
RETURN - DNATA - IAH,,50
RETURN - DNATA - SFO,,50
RETURN - DO & CO CHICAGO CATERING,,50
RETURN - EVERGREEN SKY CATERING,,50
RETURN - FLYING FOOD,,50
RETURN - GATE GOURMET,,50
RETURN - GATE GOURMET - DFW,,50
RETURN - GATE GOURMET - JAPAN,,50
RETURN - GATE GROUP,,50
RETURN - LSG SKY CHEFS - SEA,,50
RETURN - NEWREST,,50
RETURN - PT CAKRA CIPTA CUNDAMANI,,50
RETURN - LSG SKY CHEFS - NEW ZEALAND,,50
RETURN - HONETT SZERVÍZ ZRT,,50
RETURN - SHARP DO & CO KOREA,,0
VALRHONA S A S,,60
TBA,,0
N/A,,0
CHECK,,0
RETURN - DNATA - BLQ,,0
RETURN - DNATA - MEL,,0
RETURN - DNATA - SYD,,0
RETURN - LGW,,0
RETURN - SFO,,0
AVIVA FZCO,,60
GRANDS WAY INTERNATIONAL ,,60
NEUHAUS NV,,60
PETLIFE INTERNATIONAL LIMITED,,0
PLASTICA INDUSTRIES. L L C,,60
WELSPUN UK LIMITED,,45
WISHERS,,0
SAFRAN CABIN GERMANY GMBH,,45
SAFRAN CABIN FRANCE,,45
RETURN EMIRATES SEA,,60
IAD RETURN,,60
GIRNAR FOOD AND BEVERAGES PVT. LTD.,,45
HIMMELTEK GROUP LLC,,60
HERMES PARFUMS MIDDLE EAST,,60
IAD -RETURN,,60
D&M SALES AND MARKETING (H.K.) LIMITED,,60
I N F ORGANISATION,,60
E.F.B FZC,,60
,,
,,
